207.952, 132.957, 6.851,  4.379 False
208.181, 132.954, 6.878,  4.412 False
208.411, 132.951, 6.907,  4.445 False
208.642, 132.948, 6.938,  4.478 False
208.874, 132.945, 6.973,  4.511 False
209.107, 132.942, 7.011,  4.544 False
209.342, 132.939, 7.051,  4.577 False
209.578, 132.937, 7.094,  4.610 False
209.815, 132.934, 7.140,  4.643 False
210.055, 132.931, 7.187,  4.676 False
210.295, 132.928, 7.236,  4.709 False
210.538, 132.926, 7.284,  4.742 False
210.782, 132.923, 7.334,  4.775 False
211.028, 132.921, 7.383,  4.808 False
211.275, 132.919, 7.432,  4.841 False
211.524, 132.916, 7.480,  4.874 False
211.775, 132.914, 7.529,  4.907 False
212.027, 132.912, 7.576,  4.940 False
212.281, 132.909, 7.624,  4.973 False
212.536, 132.907, 7.670,  5.006 False
212.793, 132.905, 7.717,  5.039 False
213.051, 132.903, 7.763,  5.072 False
213.311, 132.901, 7.808,  5.105 False
213.572, 132.900, 7.852,  5.138 False
213.835, 132.898, 7.894,  5.171 False
214.099, 132.896, 7.932,  5.204 False
214.364, 132.895, 7.968,  5.237 False
214.631, 132.893, 7.999,  5.270 False
214.898, 132.892, 8.025,  5.303 False
215.166, 132.891, 8.047,  5.336 False
215.434, 132.889, 8.064,  5.369 False
215.703, 132.889, 8.076,  5.402 False
215.972, 132.887, 8.083,  5.435 False
216.242, 132.887, 8.087,  5.468 False
216.511, 132.886, 8.086,  5.501 False
216.780, 132.885, 8.082,  5.534 False
217.049, 132.884, 8.076,  5.567 False
217.318, 132.884, 8.067,  5.600 False
217.586, 132.883, 8.057,  5.633 False
217.854, 132.883, 8.045,  5.666 False
218.122, 132.883, 8.034,  5.699 False
218.389, 132.883, 8.022,  5.732 False
218.656, 132.882, 8.011,  5.765 False
218.923, 132.882, 8.000,  5.798 False
219.189, 132.882, 7.990,  5.831 False
219.455, 132.882, 7.982,  5.864 False
219.721, 132.883, 7.975,  5.897 False
219.986, 132.883, 7.969,  5.930 False
220.252, 132.883, 7.965,  5.963 False
220.517, 132.883, 7.962,  5.996 False
220.783, 132.883, 7.960,  6.029 False
221.048, 132.883, 7.960,  6.062 False
221.313, 132.884, 7.961,  6.095 False
221.579, 132.884, 7.962,  6.128 False
221.844, 132.884, 7.964,  6.161 False
222.110, 132.885, 7.967,  6.194 False
222.375, 132.885, 7.970,  6.227 False
222.641, 132.886, 7.974,  6.260 False
222.907, 132.886, 7.977,  6.293 False
223.173, 132.887, 7.981,  6.326 False
223.439, 132.887, 7.984,  6.359 False
223.706, 132.888, 7.987,  6.392 False
223.972, 132.888, 7.990,  6.425 False
224.238, 132.889, 7.992,  6.458 False
224.505, 132.890, 7.994,  6.491 False
224.771, 132.890, 7.996,  6.524 False
225.038, 132.891, 7.997,  6.557 False
225.304, 132.892, 7.998,  6.590 False
225.571, 132.892, 7.998,  6.623 False
225.838, 132.893, 7.998,  6.656 False
226.104, 132.894, 7.998,  6.689 False
226.371, 132.895, 7.997,  6.722 False
226.637, 132.896, 7.997,  6.755 False
226.904, 132.897, 7.996,  6.788 False
227.170, 132.897, 7.995,  6.821 False
227.437, 132.898, 7.994,  6.854 False
227.703, 132.899, 7.993,  6.887 False
227.970, 132.900, 7.992,  6.920 False
228.236, 132.901, 7.991,  6.953 False
228.502, 132.902, 7.990,  6.986 False
228.769, 132.903, 7.990,  7.019 False
229.035, 132.903, 7.989,  7.052 False
229.301, 132.904, 7.989,  7.085 False
229.567, 132.905, 7.988,  7.118 False
229.834, 132.906, 7.988,  7.151 False
230.100, 132.907, 7.988,  7.184 False
230.366, 132.908, 7.988,  7.217 False
230.632, 132.908, 7.988,  7.250 False
230.899, 132.909, 7.988,  7.283 False
231.165, 132.910, 7.988,  7.316 False
231.431, 132.911, 7.988,  7.349 False
231.698, 132.912, 7.989,  7.382 False
231.964, 132.912, 7.989,  7.415 False
232.230, 132.913, 7.989,  7.448 False
232.497, 132.914, 7.990,  7.481 False
232.763, 132.915, 7.990,  7.514 False
233.029, 132.916, 7.990,  7.547 False
233.295, 132.916, 7.990,  7.580 False
233.562, 132.917, 7.991,  7.613 False
233.828, 132.918, 7.991,  7.646 False
234.095, 132.919, 7.991,  7.679 False
234.361, 132.919, 7.991,  7.712 False
234.627, 132.920, 7.991,  7.745 False
234.894, 132.921, 7.991,  7.778 False
235.160, 132.922, 7.991,  7.811 False
235.426, 132.922, 7.991,  7.844 False
235.693, 132.923, 7.991,  7.877 False
235.959, 132.924, 7.991,  7.910 False
236.226, 132.924, 7.991,  7.943 False
236.492, 132.925, 7.991,  7.976 False
236.758, 132.926, 7.991,  8.009 False
237.025, 132.926, 7.991,  8.042 False
237.291, 132.927, 7.991,  8.075 False
237.557, 132.928, 7.991,  8.108 False
237.824, 132.928, 7.991,  8.141 False
238.090, 132.929, 7.991,  8.174 False
238.356, 132.929, 7.991,  8.207 False
238.623, 132.930, 7.991,  8.240 False
238.889, 132.930, 7.991,  8.273 False
239.156, 132.931, 7.991,  8.306 False
239.422, 132.931, 7.991,  8.339 False
239.688, 132.932, 7.991,  8.372 False
239.955, 132.932, 7.991,  8.405 False
240.221, 132.933, 7.991,  8.438 False
240.487, 132.933, 7.991,  8.471 False
240.754, 132.934, 7.991,  8.504 False
241.020, 132.934, 7.991,  8.537 False
241.286, 132.935, 7.991,  8.570 False
241.553, 132.935, 7.991,  8.603 False
241.819, 132.935, 7.991,  8.636 False
242.086, 132.936, 7.991,  8.669 False
242.352, 132.936, 7.991,  8.702 False
242.618, 132.937, 7.991,  8.735 False
242.885, 132.937, 7.991,  8.768 False
243.151, 132.937, 7.992,  8.801 False
243.417, 132.938, 7.992,  8.834 False
243.684, 132.938, 7.992,  8.867 False
243.950, 132.938, 7.992,  8.900 False
244.217, 132.938, 7.992,  8.933 False
244.483, 132.939, 7.992,  8.966 False
244.749, 132.939, 7.992,  8.999 False
245.016, 132.939, 7.992,  9.032 False
245.282, 132.939, 7.992,  9.065 False
245.549, 132.940, 7.992,  9.098 False
245.815, 132.940, 7.992,  9.131 False
246.081, 132.940, 7.992,  9.164 False
246.348, 132.940, 7.992,  9.197 False
246.614, 132.940, 7.992,  9.230 False
246.881, 132.941, 7.992,  9.263 False
247.147, 132.941, 7.992,  9.296 False
247.414, 132.941, 7.992,  9.329 False
247.680, 132.941, 7.992,  9.362 False
247.946, 132.941, 7.992,  9.395 False
248.213, 132.941, 7.992,  9.428 False
248.479, 132.941, 7.992,  9.461 False
248.746, 132.941, 7.992,  9.494 False
249.012, 132.941, 7.992,  9.527 False
249.278, 132.942, 7.992,  9.560 False
249.545, 132.942, 7.992,  9.593 False
249.811, 132.942, 7.992,  9.626 False
250.078, 132.942, 7.992,  9.659 False
250.344, 132.942, 7.992,  9.692 False
250.610, 132.942, 7.992,  9.725 False
250.877, 132.942, 7.992,  9.758 False
251.143, 132.942, 7.992,  9.791 False
251.410, 132.942, 7.992,  9.824 False
251.676, 132.942, 7.992,  9.857 False
251.942, 132.942, 7.992,  9.890 False
252.209, 132.942, 7.992,  9.923 False
252.475, 132.942, 7.992,  9.956 False
252.742, 132.942, 7.992,  9.989 False
253.008, 132.942, 7.992, 10.022 False
253.274, 132.942, 7.992, 10.055 False
253.541, 132.942, 7.992, 10.088 False
253.807, 132.942, 7.992, 10.121 False
254.074, 132.942, 7.992, 10.154 False
254.340, 132.942, 7.992, 10.187 False
254.606, 132.942, 7.992, 10.220 False
254.873, 132.942, 7.993, 10.253 False
255.139, 132.942, 7.993, 10.286 False
255.406, 132.942, 7.993, 10.319 False
255.672, 132.942, 7.993, 10.352 False
255.939, 132.942, 7.993, 10.385 False
